ng,מסגד,outskirts,פרוורים,meticulous,"מדוקדק, קפדני",impregnable,"בלתי חדיר, בלתי מנוצח",divergence,"שונות, סטייה",ponderous,"כבד מאוד, מסורבל, מגושם",demean,"להשפיל, לזלזל",turbulence,"מהפכה, ערבוביה",outrage,"1.זעם, שערוריה 2.עלבון",paternal,אבהי,synonym,"סינונים, מילה נרדפת",suceptible,"רגיש, פגיע",intricate,מורכב
fierly,"בלהט, בנחישות",interchangeably,"לסירוגין, בצורה חלופית",sacrament,"פולחן, טקס דתי",adversary ,"יריב, מתנגד",facility,"מתקן, אמצעי",xenophobia,שנאת זרים,,,,,,,sling,"ליידות, לקלוע, מקלעת",,,shrewd,פיקח,,
,,,,,,,,,,,,foremost,החשוב ביותר,pianist,פסנתרן,acclaim,"לשבח, להריע",sovereign,ריבונות,heretical,מנוגד לאמונות מסוימות (למה שנהוג לחשוב),,,,
vigour,"מרץ, און, עוצמה",apex,"שיא, פסגה",schism,"פילוג, קרע",linger,"להתעכב, להתמהמה",lucid,צלול,pipe,צינור,foresee,"לצפות מראש, לחזות מראש ",conductivity,מוליכות,accordance,"התאמה, תיאום",spectacle,"מחזה, מפגן",outright,"1.ישירות, גלויות 2.לחלוטין ",bothersome,"מעצבן,  מרגיז",,
enviable,"מעורר קנאה, בר מזל",characterizing,מאפיין,reimbursement,"1.פיצוי, החזרת כספי 2.שיפור, שיפוי (תיקון של בגד)",contend,התמודד,bypass,"לעקוף, מעקף",haul,לגרור,foresight ,"ראיית הנולד, צפייה מראש",spongy,ספוגי,acquisition,רכישה,splendor,פאר,infanticide,רצח ילדים,portion,1.חלק משלם 2.מנה (באוכל),,
pane,שמשה,distinct,"מופרד, נבדל",impede,"מנע, סיכל, עיכב",plead for,להתחנן בשם\עבור,entwine,"לשזור, לכרוך",pant,להתנשף,forewarn ,"להזהיר, להתרות",defendant,"נאשם, נתבע",acquit,"לזכות, לפטר אדם מאשמה",spouse,בן או בת זוג,incest,גילוי עריות,creep,"1.לזחול, להתגנב 2.מוזר",,
suffocate,"נחנק, חנק",distillate,מזוקק (התקבל לאחר תהליך זיקוק),rattle,1.רשרוש 2. פטפט ,fend off,להדוף,vapor,אד,paraphrase,ניסוח מחדש,forge,"לעצב, ליצור",magnificent,"נהדר, נפלא",acronym,ראשי תיבות,springboard,מקפצה,bestiality,"אכזריות, בהמיות",confine,"להגביל, לכלוא",,
ceiling,תיקרה,sampling,"דגימה, מדגם",crept,"1.זחל, השתרך 2.טיפס 3. התגנב",bask in,להתענג,languor,"חולשה, אפיסת כוח",parcel,חבילה,formulate,"לנסח, לתכנן",reversed,הפוך,affiliation,"השתייכות, שייכות",stake,"1.סיכוי, להמר 2.יתד",foul,"דוחה, מגעיל",zest,"1.שמחת חיים, נמרצות 2.החלק החיצוני של פרי",,
 fro,בחזרה,unitary,"מאוחד, יחיד",embedded,"משובץ, מוטמע",misnomer,שם מטעה,impregnable,"בלתי מנוצח, שאין להכניעו",parched,מיובש,forsake,"להפקיר, לזנוח ",workable,"בר ביצוע, מעשי",affinity,"זיקה, קירבות",stall,"1.לדחות למועד אחר, להשתהות 2.תא",pagan,"פגני, אלילי",contention,"מחלוקת, ריב",,
,,,,,,,,,,,,,,,,,,,,,,considerable,"ניכר, חשוב",,
unyielding,משוכנע לא לשנות את דעתו,manifold,"מגוון, מרובה",detonate,"פיצץ, פוצץ",revision,ארגון מחדש,intermission,הפסקה,pare,"קילף, צמצם",fort,"מבצר, מצודה",soluble,מסיס,affirm,"1.לאשר 2.לטעון, להצהיר",stampede,מנוסה עקב בהלה (בדרך כלל של בעלי חיים),unwavering,"יציב, לא הססני",,,,
subtleties,דקויות,incongruent,"לא הולם, בלתי מתאים",reintegrate,"שילב מחדש, מיזג מחדש",bracnches,"ענפים, תחומים",derivation,"הוכחה (לוגית), הפקה",quake,"להרעיד, רעדה",fortitude ,"אומץ לב, גבורה",anniversary,יום השנה,agile,"קל תנועה, זריז",,,transition,"1.מעבר, שינוי 2.תקופת מעבר",stagger,"להתנודד, ללכת לא יציב",,
entomb,לקבור מישהו או משהו,mutualism,הדדיות,refine,"1. זיקק, טיהר 2.עידן, ליטש",utility,"שימושיות, תועלתיות",revert,לחזור לשיטה הקודמת,salient,"עיקרי, בולט",forthcoming ,"1.נגיש, זמין 2. כן, גלוי לב",circa,"בסביבות, בערך (בעיקר בהקשרי תאריכים)",agitate,"להתסיס, לעורר כעס",stardom,"כוכבות, סלבטראיות",retinal,שקשור לרשתית העין,detain,"לעכב, לעצור",,
unkempt,מוזנח,fortress,"מצודה, טירה",collectable,שניתן לאסוף אותו,heresy,כפירה,implicate,"לערב, לסבך",saliva,רוק,frank,"גלוי לב, כן",dusk,"בין ערביים, דמדומים",albeit,"למרות, אף כי",stark,"גמור, מוחלט ",loosen,"התיר, הירפה",undermine,"לערער, להחליש",,
trousers,מכנסיים,census,מפקד אוכלוסין ,immortalize,הנציח,decadent,אדם מנוון ומושחת,fugitive,פליט,kettle,קומקום,frankly ,"בכנות, האמת",eternal,"נצחי, אינסופי",alias,"שם בדוי, כינוי",,,malicious,"מרושע, זדוני",avarice,"תאוות בצע, חמדנות",,
bombard,"להפגיז, להפציץ",forecast,תחזית,phase out,"ביטל בשלבים, הפסיק בשלבים",eyesore,מכוער,abbreviate,לקצר,uncompromising,בלתי מתפשר, frantic ,"מטורף, משוגע",indefinitely,"זמן בלתי מוגבל, עד אינסוף",allot,"להקצות,  תקציב",strain,"1.להתאמץ, מאמץ 2.למתוח 3.זן",muscular,שרירי,conclusive,"חד משמעי, מכריע",,
uniting,התאחדות,preeminent,"דגול, עליון",adherence,"דבקות, הצמדות",invasive,פולשני,ostentatious,"ראוותני, יומרני",median,חציון,fringe ,"1.שוליים 2.גדיל שיער, פוני",intermission,"הפסקה, הפוגה",aloft,"באוויר, למעלה",strand,"1.גדיל, חוט 2.רצועת חוף",complexion,גוון עור,diffuse,"1.מפוזר, לא ממוקד 2.לפעפע, להפיץ",,
,,acknowledged authority,סמכות מוכרת,backache,כאב גב,glance,"מבט חטוף, העפת מבט",conviction,הרשעה,wedge,יתד,,,,,,,,,,,disinfect,לחטא,,
sew,"לתפור, תפירה",,,,,,,,,,,frivolous ,"לא רציני, קל דעת",medieval,שקשור לימי הביניים,altar,מזבח,streak,"פס, קו",vibration,"ריטוט, רעידה",,,,
dozing,"לנמנם, לישון",superstition,אמונה תפלה,moratorium,דחייה או שעייה של פעולה כלשהי,transcend,התעלה,pierce,לחדור,bias,דעה קדומה,frontier,"גבול, אזור ספר",permanent,"קבוע, שאינו משתנה",alter,לשנות,stumble,"למעוד, מעידה",assuage,"1.ריכך 2.המתיק 3.פייס, הרגיע",consciously,"במודע, בכוונה",,
grin,"לגחך, לחייך",gaze,מבט,vague,מעורפל,colossal,"עצום, כביר",perception,"תפיסה, ראיית עולם",amulet,קמע,frost,טל,perpetuate,להנציח,alumni,בוגרי מוסד מסוים,subdue,"להכניע, לדכא",retort,מתן תשובה שנונה וחריפה,emergent,"הולך ומתגבש, שזה עתה נוצר",,
shabby,"עלוב, מרופט",hatched,בוקע,blouse,חולצה,slam,"הטיח, טרק",inherent,"טבוע, נעוץ",octagon,מתומן,fume ,"לעלות עשן, אדים",preexisting,היה קיים קודם לכן,ambiguous,"1.דו משמעי 2.עמום, מעורפל",submerge,"1.להשקיע, לצלול 2.להחביא, להצניע",decimation,"השמדה, הכחדה",zeal,"להיטות, קנאות",,
importune,"להפציר, לבקש בקשות חוזרות ונשנות",gnawed,מכרסם,rebuke,לנזוף,envoy,שליח,contentious,שנוי במחלוקת,quarrel,לריב,fuss,"להטריד, המולה",preliminary,1.מוקדם 2.פעולת הכנה לפני דבר מה,amend,"לתקן, לשפר",subordinate,"1.משועבד, לשעבד 2.להכניע 3.כפוף",potent,"חזק, רב עוצמה",vain,יהיר,,
crate,"קופסה, תיבה",gradually,בהדרגה,conceal,להסתיר,dowry,1.נדוניה 2.כישרון,distribute,"להפיץ, לחלק",clause,סעיף,germ,חיידק,prolong,להאריך,amiable,"ידידותי, חביב",subside,"1.לשקוט, לשכך 2.לשקוע 3.להתמוטט",immediate,1.מיידי 2.קרוב ביחסים ,stimulus,"גירוי, תמריץ",,
pantry,"מזוה, חדר מזון",attribute,"תכונה, תואר",compulsory,שהוא חובה,tangerine,מנדרינה,assimilate,"לספוג, להטמיע",lax,רפוי,gesture,"להחוות, מחוות יד",promptly,מיד,amplify,"להגביר, להעצים",substantial,"1.ניכר, משמעותי 2.איתן",imprinting,"הטבעה, החתמה",divergence,"סטייה, התפצלות",,
,,scolding,"נזיפה, לגעור",,,,,,,,,,,,,,,stash,"לאסוף, לצבור",,,assertively,"באופן החלטי, באסרטיביות ",,
filth,"זוהמה, לכלוך",discriminatory,מפלה,resign,"התפטר, ויתר, קיבל בהשלמה",fireplace,אח (לחימום),bamboozle,"לבלבל, לרמות",pensive,מהורהר,giggle,"לצחקק, צחקוק",retrospect,בדיעבד,anchor,"לעגן, עוגן",succession,1.רציפות 2.ירושה,instinctive,שקשור לאינסטינקט,,,,
agitate,"להתסיס, להכעיס",deportation,"גרוש, הגליה",practice,"1.אימון, תרגיל 2. נוהג, מנהג",curfew,עוצר (אסור לצאת מהבית בזמנים הללו),carved,חקוק,feather,נוצה,glamour,"זוהר, קסם",subsequent,"עוקב, שבא אחרי",annul,לבטל,successor,יורש עצר,lanky,גבוה רזה ורפוי,erudition,"השכלה עצומה, בקיאות",,
peer,להציץ,finalized,"סיכם, סיים",contagious,מדבק,impeach,"להדיח, להאשים",compiled,"מאוגד, מלוכד",keg,חבית קטנה,gloom,"חשכה, עגמומיות",termination,סיום,antler,קרן (של בעל חיים),,,loom,"הגיח, הופיע",interim,1.זמני 2.שלב מעבר,,
clutter,ערבוביה,consensual,בהסכמה,fence,"גדר, משוכה",vicinity,"קרבה, שכונה, סביבה",adept,מיומנות,bargain,"עסקה, מציאה, מיקוח",glorious,מהולל,uninterrupted,"רציף, לא מופסק",apparatus,"1.מנגון 2.מכשיר, מתקן",suffix,סיומת,lurking,"התגנב, ארב",saturnine,"עצוב, קודר",,
tug,"למשוך, המשיכה עצמה",coercion,"כפייה, אילוץ",diameter,קוטר,bipartisan,דו - מפלגתי,shrill,צרחני,undue,"מופרז, יתר על המידה",grease,"לשמן, גריז (חומר סיכה)",vintage,1.מיושן 2.איכותי,appliance,"כלי, מכשיר",suicide,התאבדות,facade,"1.החלק הקדמי 2.חזות, מראה",transitory,"בר חלוף, זמני",,
hiss,1. ללחוש 2. לשרוק,seismic,שקשור לרעידות אדמה,nuisance,מטרד,fusion,"היתוך, התכה",literal,מילולי,martyr,קדוש מעונה,greasy,שמנוני,abound,שופע,applicant,מועמד,sumptuous,"1.מפואר, יקר 2.נהדר",grin,"חייך, גיחך",tortoise,צב יבשה,,
tenants ,שוכרים (מי שגרים בדירה) ,disputes,מחלוקות,drill,1.מקדחה 2. תרגולת,fission,ביקוע,pious,דתי,hush,להשתיק,greet,"לברך לשלום, לקדר פנים",ample,"הרבה, גדול",apprehend,1.להבין 2.לעצור (פושע) 3.לחשוש,supremacy,עליונות,bare,1.חשוף 2.ריק 3.פשוט,corollary,"תולדה, תוצאה של",,
,,,,,,,,,,,,,,,,,,succumb,1.להיכנע 2.למות,lorry,משאית,insistence,התעקשות,,
repugnant ,"מעורר שאת נפש, מזעזע",refrained,נמנע מ,bathe,"רחץ, הרטיב",batter,"חבט, הלם, היכה",partial,בעל העדפה ל,barn,אסם,gallant,"אבירי, נועז",exceed,"לעלות על גדותיו, לחרוג",aptitude,"1.כישרון, נטיה 2.חריצות",surge,1.נחשול 2.עלייה חדה,,,,,,
deranged,מטורלל,infrastructure,תשתיות,guarantee,"ערובה, אחריות",channel,"ערוץ, אפיק",tutor,מורה פרטי,lease,להשכיר,gallop,"לדהור, לשעוט",extensive,"נרחב, מקיף",aqueduct,מוביל מים,surplus,"עודף, יתרה",hooted,"צווח, צעק",facilitate,"לסייע, לקדם",,
rumination ,הרהור,underscores,קו תחתון שנועד להדגשה,quotation,"ציטוט, מובאה",deforestation,כריתת יערות,orator,נואם,fence,גדר,gape,"לפעור את הפה, נפער",fivefold,פי חמישה,arable,קרקע שניתנת לעיבוד,sustainability,קיומות,,,implant,"להטביע, להחדיר",,
martyr,קדוש מעונה,biodegradable,מתכלה,alliance,"ברית, התקשרות",malpractice,רשלנות פושעת,foster,מטפח,segment,קטע,gauge,"לאמוד, להעריך",immeasurable,"שלא ניתן למדידה, ללא גבול",arbitrary,"שרירותי, ללא סיבה",sweep,1.לסחוף 2.לטאטא,skid,"החליק, התגלש",bride,כלה,,
inquiringly,בצורה של שאלה,algae,אצות,erratic,"בלתי יציב, בלתי צפוי",midwife,מיילדת,drape,"וילון, מסך ",lens,עדשה,gaunt,"כחוש, רזה",inclusive,"כולל, בהיקף גדול",ark,תיבה,swift,מהיר,muster,"1.כינוס, איסוף 2.אזירת כוח",attribute,"1.לייחס 2.תכונה, סמל",,
premises,"מקום, שטח בנוי",viscose,סוג של אריג,tangible,"מוחשי, ברור",contraception,מניעת היריון,misplacing,מאבד,censure,ביקורת,glare,1.מבט חודר 2.אור מסנוור ,increment,"תוספת, עליה",arouse,לעורר,syllable,הברה,lump,"1.גוש, בליטה 2.לחבר, לאחד",rigorous,"קפדני, מחמיר",,
ostrich,יען,cultivation,"טיפוח, עיבוד",dormant,"רדום, ישנוני",whereabouts,"היכן, איפה",matriarch,אם מייסדת,cluster,קבוצה,gleam,"להבהיק, להבריק",mediocre,"בינוני, אמצע",array,"לערוך, מערך",tablecloth,מפת שולחן,ragged,"מרופט, מהוה",Coercive,"כפייתי, שיש בו שימוש בכוח",,
,,,,,,,,,,,,,,,,,,,,wheelbarrow,מריצה,scrimmage,"תגרה, מאבק",,
irritation,"גירוי, משהו שמעורר בך כעס או עצבים",provinces,מחוז,regal,מלכותי,spear,"חנית, רומח",recipient,"מקבל, נמען",plaque,לוחית,devouring,טורפים,ounce,אונקייה (יחידת משקל),arson,הצתה בזדון,tail,1.זנב 2.שובל 3.לעקוב,,,,,,
sway,לזוז לאט מצד לצד,grief,"יגון, צער",practically,כמעט,cherished,"העריך, הוקיר",narrator,"קריין, מספר",obloquy,גינוי,glide ,"לגלוש, לדאות",percentile,אחוז,articulate,"רהוט, בעל יכולת הבעה שוטפת",taint,"לזהם, להכתים",rug,"שטיח, מרבד",duck,1.ברווז 2.להתחמק (ממישהו או ממשהו - אחריות),,
sacked,"לפטר, להדיח",toll,"אגרה, מס",casually,"באופן אקראי, באופן לא פורמאלי",reciprocal,הדדי,adversary,"מתחרה, אויב",improvise,לאלתר,glimmer ,"להבהב, נצנוץ ",remainder,"יתרה, שארית",ascend,"לעלות, להתרומם",tame,"לאלף, מאלף",raspy,"צורם, מחוספס",,,,
tram,רכבת חשמלית,unrest,אי שקט,occasionally,"מדי פעם, לפעמים",veil,,wavelength,אורך גל,pervert,סוטה,glisten ,"להבהיר, לנצנץ",bean,"שעועית, פול",ascertain,"לוודא, לאמת",treason,בגידה,grimace,העווה את פניו (מגועל או סלידה),flake,"1.פתית, רסיס 2.לקלף",,
breadwinner,מפרנס,fallout,"נשורת, תוצר לוואי",interrogation,"חקירה, תחקור",audacity,חוצפה,wasteland,שממה,lattice,"רשת, סורג",glitter ,"לזכור, לנצנץ ",beverage,משקה,ashore,על החוף,teller,"כספר, קופאי",hem,תפר מכפלת,boulder,סלע ענק,,
bankrupt,פושט רגל,fermentation,"תסיסה, התססה",impersonation,התחזות,drill,1.לקדוח 2. תרגולת,contemporary,"עכשווי, מודרני",obsolete,מיושן,grandeur,"פאר, גדולה ",buffet,"בופה, מזנון",,,template,תבנית,sob,"יבבה, יפחה",spoils,"שלל, ביזה",,
rotten,"רקוב, מחורבן",reviving,להחיות,intimidation,"הפחדה, הבהלה, איום",erratic,לא יציב,obnoxious,"נתעב, דוחה",plight,מצוקה,grant,1.להעניק 2.להסכים,canned,"משומר, מאוחסן בקופסת שימורים",assign,"להקצות, למנות, לייעד",tenet,"עיקרון, אמונה, יסוד",hiss,"ללחוש, לשרוק",bash,"להכות, לחבוט",,
,,,,,,,,,,,,,,,,,,,,cradled,1.החזיק בעדינות 2.ערסל,hamper,"להפריע, לעכב",,
clad,"לבוש, ללבוש, להלביש",compliance,"התאמה, מילוי דרישות",immunization,חיסון,tangible,מוחשי,mandatory,"חובה, הכרחי",obliterate,להשמיד,growl ,"לנהום, לרטון ",,,,,tenant,דייר,,,ledge,מדף,,
clinging ,נצמד,cater,לספק,lowkey,"מאופק, בטון נמוך",dormant,רדום,congregate,"התאסף, התקהל",spilled,נשפך,grief ,"צער, יגון",cattle,"עדר פרות, בקר",at odds,"שרוי במחלוקת, סכסכוך",terrain,שטח,innards,"קרביים, איברים פנימיים",nestled,"שכון, חבוי",,
pale,חיוור,ewe,"כבשה, רחלה",blunt,1.בוטה 2.קהה,regal,מלכותי,conceal,"הסתיר, העלים",pigment,צבע (פיגמנט),grieve ,"להתאבל, להעציב ",cereal,"דגן, דייסה",attain,להשיג,tile,אריח,salivating,מזיל ריר,baffled,"מבולבל, אובד עצות",,
paleness ,המצב שמישהו הוא חיוור,punitive,שקשור לעונש,pillar,"עמוד, עמוד התווך",subsequently,לאחר מכן,scrupulous,"קפדן, דייקני",maintained,"מתוחזק, שמור",grim,"קודר, עגמומי ",crust,"קרום, קליפה",attendant,"משרה, מלווה",tin,פח (סוג של מתכת),bile,מיץ מרה,grieving,מתאבל,,
disarray ,"אי סדר, מבולגן",intrinsic,"פנימי, מהותי",siege,מצור,malice,"רשעות, זדוניות",divisive,"מחלק, מפלג",illustrated,מאוייר,grin,לחייך ,cuisine,"מטבח, בישול",,,toll,1.אגרה 2.מחיר,sugarcane,קנה סוכר,constraint,"אילוץ, מגבלה, כפייה",,
replete,"גדוש, מלא",forefront,חזית קדמית,malice,"זדוניות, רשעות",pillar,עמוד תווך (עמוד מרכזי),specimen,"דוגמה, מדגם",contained,1.מרוסן 2.מוכל,grotesque ,"מגוחך, נלעג ",famine,"רעב, מחסור חמור במזון",attire,"לבוש, כסות, בגד",tract,1.שטח 2.מערכת ביצור חי ,,,spite,"זדון, רוע לב",,
fable ,משל,leveraging,מינוף (למנף משהו),formulating,"ניסח, תכנן, הגה",siege,מצור,peninsula,חצי אי,reconciled,התפייס,grudge ,"איבה, טינה ",feast,"סעודה, משתה",audacity,חוצפה,traiblazer,"חלוץ, פורץ דרך",embankment,"סוללה, גדה, סכר",impede,"לעכב, להפריע",,
,,,,,,,,,,,,,,,,,,staple,1.מצרך או מרכיב עיקרי 2.סיכה,,,hoard,"לאגור, לצבור",,
austere,"קשוח - קר במזג שלו, פשוט רק עם הדברים שצריך בו",disintegrate,"התפורר, התפרק",nominating,1.מינה 2. הגיש מועמדות,decent,"הגון, מכובד",transaction,עסקה,notified,הודיעו לו,harbor,1.נמל 2.מקום מחסה,grain,"1.דגן, תבואה 2.גרגיר",axis,ציר,trait,"תכונה, מאפיין",trundle,"גילגל, התגלגל",,,,
hence,לכן,swab,מטוש (מקל לניקוי אוזן),quarantining,"בידד, הכניס לבידוד",scenic,"נופי, שקשור לנוף",repertoire,מאגר,inscribed,נחרט,headmaster ,מנהל בית ספר,inedible,לא אכיל,aviation,תעופה,transfusion,עירוי,eavesdropped,מאזינים בסתר,comet,כוכב שביט,,
oeuvre,יצירה,impounded ,להחרים,blockades,"מצור, הסגר, חסימה",quarantine,"בידוד, להכניס לבידוד",mechanism,מנגנון,allocated,מקצה (הקצאה),hollow ,"חלול, להפוך לחלול",jar,"צנצנת, כד",axle,"סרן, ציר",transgress,"להפר, לחרוג",curfew,"עוצר, הגבלה",fuzzier,"מטושטש יותר, פחות ברור",,
abnegation,ביטול,vicious,"מרושע, אכזרי",demonstration,הפגנה,detect,"לזהות, לבלוש",ornament,קישוט,encountered,נפגש,hostility ,"איבה, עוינות ",kettle,קומקום,backbone,1.עמוד שדרה 2.אומץ לב,transition,"מעבר, שינוי",turret,צריח ,stride,"1.פסיעה, צעדה 2.לצעוד בצעדים גדולים",,
veneer,סוג של שכבת חומר דקה כלשהו  שמכסה,tanned,שזוף,rhetoric,"רטוריקה, חוכמת הדיבור",shear,לגזוז,goes by,חולף,obstructed,חסום,howl,"ליילל, יללה ",marinate,להשרות,bail,1.ערבות 2.להוציא מים 3.לחלץ,tremble,"לרעוד, רעד",cony,ארנב,infestation,"פלישה של מזיקים, נחיל",,
hoodwinked,נדהם,sagging,"שקע, ירד, צנח",dampen,"1.להרטיב משהו 2. לשכך, להרגיע (רגשות)",crease,לקפל,makes up,מפצה,intrigued,מסקרן,hybrid ,בן כלאיים,morsel,"חתיכה, פיסה קטנה, פרוסה",basin,1.אגן (כלי לאגירת נוזלים) 2.כיור,,,pioneer,חלוץ,natal,"מולדת, הקשור ללידה",,
languishing,"נמג, להתמוגג",plunging,"צנח, נפל, צלל, ירד במסדרון תלול",bundle,"חבילה, צרור",reverent,"נערץ, נכבד",stands for,מייצג,purchase,רכישה,hypothesis ,השערה ,,,,,,,cupboard,ארון,coincide,1.להתרחש בו זמנית 2.לחפוף,,
,,,,,,,,,,,,,,,,battalion,גדוד,trickle,"לטפטף, טפטוף",delegation,1.משלחת 2.האצלה,examining,"בוחן, בודק",,
rednecks,ג'ינג'ים,impairment,"לקות, ליקוי, פגם",jurisdiction,"תחום שיפוט, סמכות שיפוט",sanitary,תבראותי (תנאי ניקיון ששומרים על בריאות הציבור),gives in,נכנע,voyage,מסע,hail,1.ברד 2.לברך לשלום ,peel,לקלף,bead,1.חרוז 2.אגל,troupe,"להקה, הרכב אומנותי",lurched,טלטול פתאומי,,,,
ensemble,מכלול של אנשים,inauguration,1. חניכה 2. השבעת נשיא (בארצות הברית),gauge,"מדד, בדק",scribes,פקידים,milestone,אבן דרך,conquest,כיבוש,hamlet,כפר קטן,pepper,פלפל,beehive,כוורת,truce,שביתת נשק,aristocracy,אצולה,laundry,כביסה,,
chauffeur ,נהג,salute,"הצדעה, ברכת שלום",referendum,משאל עם,martyr,קדוש מעונה,backdrop,רקע,fortune,"הון, מזל",helmet,קסדה ,,,befitting,יאה,trunk,1.תא מטען 2.חדק 3.גזע,curator,אוצר (של יצירות אומניות),,,,
resonate ,להדהד,endorsement,"תמיכה, אישור",in awe of,ביראת כבוד,weave,"לארוג, לטוות",standby,המתנה,assembled,הורכב,hamper,1.למנוע 2. סל,pomegranate,רימון,behalf,מטעם,tumult,"מהומה, המולה",befriend,1.לסייע 2.להתחבר,tailgate,דלת אחורית (ברכב),,
contemplating ,מהרהר,riot,התפרעות,niche,גישה מתאימה,smuggle,להבריח,shattered,מנופץ,processed,עובדו,haphazard,"אקראי, מקרי",sesame,שומשום,behead,לערוף ראש,uncharted,"לא נודע, לא ממופה",widow,אלמנה,crafty,"ערמומי, מתוחכם",,
stele,מצבת אבן,lawmakers,מחוקקים,cash flow,תזרים מזומנים ,extinguish,לכבות,indexed,מסומן,embodied,"להמחיש, היוו, לגלם",hand over,להסגיר ,spill,1.לשפוך 2.בהשאלה 3.לגלות סוד לאחר,benign,1.שפיר 2.טוב לב,unclaimed,"ללא דורש, שלא דרשו אותו",alienated,מנוכר,salient,"בולט, עיקרי",,
acute ,"חד, חריף מוח",labeling,"תיוג, הדבקת תווית",outright,"מוחלט, טוטאלי",mosaic,פסיפס,contested,שנוי במחלוקת,restored,"משוחזר, משוקם",handout ,"נדבה, לחלק",stale,"עבש, לא טרי",bias,"דעה קדומה, דעה מוטה מראש",uncompromising,ללא פשרות,emergence,"הופעה, צץ",anchorman,מגיש חדשות,,
,,,,,,,,,,,,,,,,,,,,detracting,"1.לגרוע, להפחית 2.הסחת דעת",bind,1.לקשור 2.לחייב,,
doctrine ,תורה,intricate,"מסובך, מורכב",haul,"גרירה, משיכה",commotion,"המולה, מהומה",perished,נחרב,staggering,מדהים,handful,חופן ,unprocessed,לא מעובד,,,undergo,"לעבור, לחוות",,,,,,
prerequisite,תנאי מוקדם,vapor,"אדים, קיטור",exempt,"פיטר, שיחרר",succumbed,נכנעו,flaunted,התרברב,falsely,שלא בצדק,hassle,"להטריד, ויכוח",vinegar,חומץ,binoculars,משקפת,underlying,"1.שנמצא ביסודו של דבר 2.משתמע, נרמז",reveal,לחשוף,hose,צינור גמיש להשקייה,,
deity,"אלוהות, אל",humidity,לחות,austerity,"צנע, סגפנות",commenced,החלה,grimaced,העווה פניו,omen,"אות, סימן לבאות",haste ,"להיחפז, למהר",yeast,שמרים,blaze,"להתלקח, להבה",undertake,"להתחייב, להבטיח",compassionately,בחמלה,wail,"יללה, קינה",,
struck ,"פגע, לפגוע ",cattle,בקר,deliberate,1.מכוון 2. מחושב,might,עוצמה,relented,"התרצה, נענה",scroll,מגילה,hasty ,"בהול, חפוז ",amphibian,דו חיי ,bleach,"להלבין, חומר מלבין",underused,לא מנוצל כראוי,bitterly,במרירות (עם הרגשה שלילית),ascribe,לייחס,,
peculiarities ,"מוזריות, תכונות מיוחדות",tanneries,בית מלאכה לעיבוד עורות,atrocity,"זוועה, אסון",influx,"זרם, נהירה",wharf,מזח,query,"סקר, שאילתא",haughty ,"יהיר, מתנשא",beak,1.מקור 2.חוטם,blend,"1.להתמזג, לערבב 2.תערובת",underway,"בדרך, בתהליך",scrutiny,1.בחינה מעמיקה 2.ביקורת,interpretation,"פירוש, פרשנות",,
longitudinal  ,אורכי (אורך גדול),vigilante,חברים בארגון התנדבותי שלוקחים את החוק לידיים,vend,מכר,brink,"סף, גבול",endeavor,"להתאמץ, ניסיון",swept,לטאטא,haze," ערפל, אובך ",beast,"חיה, בהמה",blueprint,"תכנית, שרטוט, טיוטה",,,fickleness,"הפכפכות, חוסר יציבות",momentary,"זמני, רגעי",,
ignorant,"בור, טיפש",resides,"התגורר, גר, שוכן",Vending machine,מכונת ממכר (מזון),,,,,,,hazy,"אביך, מעורפל",calf,עגל,blunt,"להקהות, קהה",unearth,1.לחפור 2.לחשוף,manuscript,כתב יד,hospitable,"1.מכניס אורחים 2.נוח, מתאים",,
,,,,,,inquisitive,סקרן,consequential,"חשוב, מכריע",sworn,להישבע,,,,,,,,,delirium,"הזייה, בלבול",procure,1.להשיג משהו שקשה 2.לרכוש,,
destitute ,"חסר כל, נצרך",exacerbates,מחריף,impose,"כפה, אכף, הטיל",referendum,מישאל,harvest,"קציר, לקצור",struck,להיפגע,heap,"לערום, ערימה",carnivorous,אוכל בשר,bound,"1.מחויב 2.קשור, כפות",unfold,"1.לפרוש, לפתוח 2.להתפתח",elopement,בריחה חשאית (נישואים או בריחה ממוסד כלשהו),chastity,"צניעות, טהרה",,
relish,"1. הנאה, חשק 2. תבלין",portable,"נייד, נשא",culminated,הגיע לשיא,thrust,"דחף, דחיפה",misery,"אומללות, סבל",persist,להימשך,hearsay,שמועה,croak,קרקור,bow,1.להשתחוות 2.קשת,unformed,1.לא מעוצב 2.חסר צורה,enthusiasm,התלהבות,whereby,"באמצעותו, בעזרתו",,
predisposition,נטייה קדומה,vast,"נרחב, עצום",adept,מיומן,bombardment,"הפצצה, הפגזה",junction,צומת,pursuing,"עסק, רודף אחר",hectic ,קדחתני (מלא פעילות),cub,גור,boycott,"להחרים, חרם",uninhibited,חסר מעצורים,plainness,"1.פשטות 2.ישירות, כנות",diffusion,"1.פעפוע, חדירה 2.התפשטות",,
mundane ,"רגיל, ארצי, משעמם",facilitated,"הקל, סייע",seize,לתפוס,embroil,"סבוך, נמצא במצב קשה",prejudicial,גזעני,scattering,פיזר,herald,"מודיע, כרוז ",fauna,"עולם חי, קבוצה של בע""ח",breach,"הפרה, לפרוץ, פריצה",uninsured,לא מבוטח,,,repudiate,"1.להתכחש 2.לדחות, לסרב ",,
