ng	מסגד
crave	להשתוקק
cognition	חשיבה
thigh	ירך
discontent	אי שביעות רצון
faithful	נאמן
endowed with	ניחן (בתכונה מסוימת)
quarantine	הסגר
indispensable	חיוני
wallow	להתפלש
florist	מוכר פרחים
incite	הסית
piety	אדיקות
surpassing	מצויין
authoritative	סמכותי
delegation	משלחת
enfeeble	להחליש
waste	לדלדל
sphere	כדור 2.כיפת השמיים 3.תחום בו מתרחשת פעילות מסוימת
bloat	להתפיח
presumably	ככל הנראה
dabble	להתעסק בעבודה כלשהי
dictum	הצהרה
miscarriage	הפלה (טבעית) 2. כישלון
procure	להשיג משהו שקשה להשגה
cornerstone	אבן פינה (מטאפורה לבסיס)
spoil	לקלקל 2.לפנק 3.לבזוז
pretension	יומרה
unwind	להירגע 2.להתיר (לפרום קשר)
usher	סדרן 2.שומר
enlighten	להדריך
wasteful	בזבזבני
sprawl	להשתרע
raft	רפסודה
overturn	הפך
chattel	נכס נייד
Subpostmasters	סגן מנהל משרד דואר
kindle	להבעיר
eminence	נכבדות
enraged	להרגיז
stamp	חותמת
bibliophile	אוהב ספרים
intermediaries	מתווכים
colloquially	באופן דיבורי
tenure	הזמן שבן אדם עובד בעבודה מסוימת
compensate	פיצה
excerpts	קטעים
standout	לבלוט 2.לסרב
extracted	חולץ
unprecedented	חסר תקדים (שכמוהו עוד לא היה)
invariable	קבוע
coherence	עקביות
entice	להסית
weep	לבכות
standstill	לעמוד ללא תנועה 2.מבוי סתום
ravage	להרוס
ubiquitous	נמצא בכל מקום
bystander	משקיף
sediment	שיקע
apprehend	תפס
lamp	מנורה
thorough	יסודי
foregone	פורשים מראש
steer	לנווט
namely	כלומר
subjugate	לשעבד
brandish	איים 2.נופף
tan	להשתזף
salute	הצדעה
fork	מזלג
epoch	תקופה
entrust	להסמיך
reassemble	לקבץ מחדש
taunt	להתגרות
inquiry	חקירה 2.שאלה
heinous	רע
boasted	התפאר
commemorate	הנציח (בזיכרון)
entitled	ראוי
bouquet	זר
entwine	לשזור
whereas	לעומת זאת
stray	לתעות 2.מקרי
gauge	מודד
spectacular	מרהיב
bloc	גוש
buttock	עכוז
rally	אסיפה
asserted	הכריז
realms	ממלכות
matriarchal	שלטון האם (מטריכלי)
swelled	להתנפח
enslave	לשעבד
whine	בכיינות
recapitulate	לסכם
rehabilitation	שיקום
secede	פרש
explicit	מבוטא
reverted	חזר למצב הקודם
deteriorate	להדרדר
precept	עדות
envision	לחזות
stud	סוס הרבעה 2.לנעוץ
recession	שפל
superficial	שיטחי
discerning	נבון
creek	ערוץ
encompassed	הקיף
pundit	מומחה
salvaged	חולץ
blunder	מפשל
equate	להעריך כשווה
whirl	מהומה 2.לסובבב
reciprocity	הדדיות
coincidental	מקרי
heyday	תקופת השיא
certificate	תעודה
lax	רפוי
elicit	הפיק
crane	עגורן
cackles	קרקורים
whole	בריא ושלם 2.כולל 3.מקיף
summon	לזמן
recompose	להרכיב מחדש 2.להירגע
lie	שקר 2.נמצא
horticulture	גננות (גידול צמחים)
arson	הצתה
disparity	פער
scrutiny	בחינה
excavation	חפירה
digest	תמצית
era	עידן
wholesale	סיטונאות
sunbathe	להשתזף
venturing	מעז
tenet	עיקרון
plead	לטעון
plebiscite	משאל עם
convict	אסיר
meadow	אחו
wholly	לגמרי
swirl	להסתחרר 2.מערובלת
rectangular	מלבני
perishing	נחרב
vortex	מערבולת
vanity	יוהרה
inclusivity	כוללני
foster	לטפח
frivolous	קל דעת
particles	חלקיקים
erecrt	להזדקף
wholesome	בריא 2.טוב
tailor	חייט 2.לתפור
recurrence	הישנות
projecting	מתכנן
hound	כלב ציד (משהו שרודף)
hawker	רוכל
malfeasance	עבירה
Eligibility	כשירות
drape	וילון
knot	קשר
sequences	סדרות
reclining	נשען
quacking	געגעוע של ברווז
erode	לאכל
withhold	לא לתת
terrestrial	קרקעי
reevaluate	להעריך מחדש
pursuit	מרדף
recreational	פנאי
banquet	משתה
wicked	רע
refrain	להימנע מ
soared	האמיר
sketched	משורטט
exuberant	צוהל
siege	מצור
immersive	סוחף
erroneous	שגוי
wickedness	רוע לב
thrive	לשגשג
regenerate	להתחדש 2.לתקן
limped	צלע
reigned	שלט
aviary	כלוב לעופות ולציפורים
dodge	התחמק
mischief	שובבות
erudition	השכלה
widow	אלמנה
tide	גאות ושפל
regimen	משטר טיפולי (אורח חיים מסוים לשיפור המצב הבריאותי)
pounced	התנפל
gross	חישב שכר ברוטו
Visitation	הפעולה של הביקור
trespassing	הסגת גבול
annihilation	השמדה
observant	חד הבחנה
estate	נכס
tire	צמיג 2.לעייף
regiment	יחידה צבאית
drifted	נדד
pretence	העמדת פנים
reciprocate	החזיר
scrupulous	מוקפד
wipes	מגבונים
supremacist	עליונות
radiant	קורן
estrange	להתנכר
windmill	טחנת רוח
tomb	קבר
reimburse	לפצות
deceive	להונות
vexing	מעצבן
loo	שירותים
shiver	לרעוד
witty	פיקחות
toolbox	ארגז כלים
rein	מושכות המשמשות לרכיבה 2.לרסן
cylinder	צילנדר
resent	להתרעם
muck	דשן
sewer	ביוב
dual	זוגי
rationing	קיצוב
rebellious	מרדני
outlandish	מוזר
fatbergs	גוש של שומן
grease	שומני
sprung	קפץ
implication	משמעות
wither	לנבול
relay	תחנת ממסר 2.מחליף משמרת 3.מרוץ שליחים
jut	בלט
impartially	ללא העדפה
evict	לגרש
transaction	עסקה
relinquish	לוותר 2.לנטוש
fabric	בד
dangle	התנודד
cluster	אגד
charities	ארגוני צדקה
burden	עול
valiantly	באופן נועז
exasperate	להחמיר
woolen	צמרי
transmit	לשדר
render	להגיש
pesticides	חומרי הדברה
archive	ארכיון
commission	שליחות
parole	שחרור על תנאי
repeal	לבטל
morbid	מבעית
excavate	לחפור
wreck	להחריב
transparency	שקיפות
repel	לדחות
condiserably	במידה ניכרת
laud	הילל
defy	לסרב בתוקף
resentful	כועס
exceed	לחרוג
wreckage	הרס
treaty	אמנה
representative	נציג
conveniently	בצורה נוחה
gilded	מוזהב
eidetic	זיכרון צילומי
savvy	שמבין עניין
acquisition	רכישה
by no means	בשום אופן לא
sober	פיכח
excursion	טיול
wrestle	להתגושש
undisturbed	שלא הופרע 2.רגוע
resonate	להדהד
congregate	מתקהל
vermin	שרצים
dean	דיקן
clamp	מלחציים (לקבע מוצר כלשהו לצורך עיבודו)
pageant	מפגן ראווה
component	חלק
curdle	להקריש
exhilarate	מרענן
wring	לסחוט(מנוזל) 2.לפתל
resort to	לנקוט
tin	בדיל 2.פחית שימורים
fictitious	דמיוני
draftsman	מישהו משרטט כעבודה
mischievous	שובב
handicapped	נכה
jam	פקק תנועה
rebuttal	הכחשה
lid	מכסה 2.עפעף
gauged	נמדד
exclaim	לקרוא
wrinkle	להתקמט
restoration	שחזור
rattling	חריקה
incandescent	זוהר
iteration	חזרה
county	מחוז
preclude	למנוע מאירוע להתקיים
keen	נלהב
exemplify	להדגים
yawn	לפהק 2.להיפער
restriction	הגבלה
foreigner	זר
strained	מודאג
troubleshoot	לפתור בעיות
displacement	הזזה
virtuous	מוסרי
enlist	לגייס
knuckle	פרק האצבעות
retain	לאגור
table	שולחן 2.לוח 3.טבלה
enunciating	לבטא
shelved	לא התממש (כמו ששמו משהו במדף ולא נגעו בו יותר)
abdication	ויתור על כס המלכות 2. התפטרות
sewage	שפכים
maverick	עצמאי
lag	להתמהמה
zenith	פסגה
cuneiform	כתב יתדות
dome	כיפה
patenting	פטנט
accession	קבלה (של משרה
consort	בן או בת זוג
troupe	להקה
lamb	כבש
expulsion	גירוש
zest	להוסיף עניין 2.לתבל 3.התלהבות
via	באמצעות
row	שורה 2.חתירה
louts	גס רוח
penniless	חסר פרוטה
perish	נהרס
riot	התפרות
sinister	רע
oblique	אלכסוני
expurgate	לצנזר
zip	לרכסן
Vindication	זיכוי
presumed	משוער
pangs	ייסורים
superintendent	מפקח
obliterate	להשמיד
extant	שורר
zipper	רוכסן
wagon	קרון
revision	בדיקה מחדש
fountain	מזרקה 2.מקור של משהו (בהשאלה)
plagued	מוטרד
thump	חבטה
turmoil	בלגן
cordon	סרט שמונע מאנים להיכנס לאזור
phase	שלב (זמן)
entrant	מצטרף
cartridge	תרמיל 2.מחסנית
intrigued	לסקרן
extinguish	לכבות
evangelicals	צליינים
weaver	אורג
rhyme	לחרוז
fretsaw	מסורית (מין מסור ידני כזה)
undercutting	לחייב פחות מהמתחרה
kennel	מלונה
extort	לסחוט (כסף)
vicinity	סביבה
wed	להתחתן 2.לאחד
rife	שופע
pheasant	סוג של ציפור
incorporated	לשלב
discourtesy	לא מנומס
coil	סליל
garland	זר פרחים
secularized	חילון
extraneous	לא נחוץ
wary	זהיר
wig	פאה
rite	טקס
perpendicular	ניצבי
porridge	דייסה
barricade	מתרס
forerunner	שליח
glimpse	מבט חטוף
clergy	כמורה
pave	לסלול
extravagant	ראוותני
rotor	נע במעגלים (חוגה) 2.החלק שנע במנוע
bisect	חצה (לשתי גדלים שווים)
fermented	להתסיס
peculiar	לא רגיל
billy	מיכל לחימום מים 2. אלה שמשמשת שוטרים להכאה
ambiguous	דו משמעי
whip	שוט 2.להלקות
rouge	סומק
slab	חתיכה עבה
brewed	לבשל
whims	גחמה
reinterpreted	לפרש משהו מחדש
gnawed	נגס
obnoxious	נתעב
fatal	הרה אסון
woe	יגון
pact	הסכם
rudimentary	בסיסי
guileless	ישר
stalk	גבעול 2.הטריד 3.עקב אחרי
entrusted	מופקד
fringe	שוליים
ballot	הצבעה
superstition	אמונה תפלה
consternation	תדהמה
elucidate	להבהיר
alternatively	לחלופין
peel	לקלף
repture	להיקרע
millet	דוחן - סוג של דגן
gushed	נשפך
definitive	החלטי
gaze	מבט
permeate	לחדור
legume	קטניות
chores	מטלות
prowess	גבורה
flake	לפורר
either X or X	או ואו
sanctity	קדושה
wrenching	עיקם
Preface	הקדמה
volatility	אי יציבות
census	מפקד אוכלוסין
observance	שמירה
neither X nor X	לא ולא
plaintiff	תובע במשפט
savory	מתובל 2.ריחני
hairpin	סיכת ראש
plateau	מישור 2.העדר התקדמות או שינוי
adhesive	דביק
decree	צו
fluctuation	תנודה
ordeal	חוויה קשה
barrack	מחנה צבאי 2. לצעוק ולקלל בגסות
pang	כאב חד
inflame	להלהיט 2.להסית
in the meantime	בינתיים
resolution	החלטה
scavenge	לחטט בזבל 2.לחפש מזון 3.לנקות
pat	ליטף 2.שיטח
reiterated	חזר על עצמו שוב ושוב
leant	רכן
opt out	העדיף שלא להיות מעורב
shrewdly	בפיקחות
xerox	מכונת צילום
flatter	להחמיא
hence	לפיכך
scroll	לגלול
insomniac	אדם הסובל מנדנודי שינה
dominate	שלט
bolted	לזוז מהר בעקבות פחד
baptised	הוטבל (נצרות)
aggressor	תוקפן
inflict	גרם
nibble	לכרסם
fortification	ביצורים
to recap	לסיכום
seclude	להתבודד
interlude	קטע ביניים
thrifty	חסכן
austere	מחמיר
italicised	משנה את הכתב על מנת להדגיש אותו
testimony	עדות
delving	התעמקות
humbback	גיבנת
plank	קרש שטוח
fossil	מאובן
co	יחד
rinse	לשטוף
secrecy	סודיות
touched upon	התייחס
tenacity	עקשנות
droplet	טיפה זעירה
parish	קהילה
occlude	לחסום
fable	לספר משל
con	עם
herald	חלוץ (ראשון שבעקבותו יהיו עוד) 2.כרוז
closure	סגר
naval	שקשור לחייל הים או לספינות
arid	צחיח
essentially	בעצם
ache	כאב חד
rave	לדבר בהתלהבות
ferry	מעבורת
confederate	בעל ברית
facile	קל
conjoin	לאחד
seek	לחפש
protrude	התבלט
tiring	עייף
implementation	יישום
placid	רוגע
migratory	נודדים
censured	לנזוף
fallacy	דעה מופרכת
contra	נגד
subscription	מינוי
seemingly	לכאורה
regressed	נסוג
obscenities	גסויות
tremble	לרעוד
vintner	סוחר יין
restrict	להגביל
scholar	מלומד
falsify	לזייף
contraception	מניעת היריון
seize	לתפוס
retraced	לחזור לאחור 2.לשחזר (זיכרון)
agentic	פעולה יזומה
banister	מעקה
penance	כפרה
deportee	מגורש
idle	להתבטל
attributed	ייחס
levy	לגבות
far fetched	לא הגיוני
counter	מנוגד
immodest	לא צנוע
segregate	להפריד
wariness	זהירות
aloof	מרוחק
bequeathed	הוריש
transactional	ששייך או קשור לעסקה
emphatic	מודגש
ieisure	פנאי
counteroffer	הצעה נגדית
petty	קטנוני
self-interest	אינטרס אישי
thick	עבה 2.טיפש
hissing	שריקות
effigy	תבליט
detention	ריתוק
rustic	כפרי
curse	קללה
feat	הולם
de	היפוך
self-sufficient	עצמאי
fleeing	ברח
courtesy	אדיבות
quivering	לרעוד
vogue	אופנה
sobriquet	כינוי
extravagance	פזרנות
overthrown	הופל
secular	חילוני
feign	להעמיד פנים
defrost	להפשיר
relocate	לשנות מיקום
semi-precious	יקר למחצה
breeding	גידול
vouches for	ערב ל
hefty	חזק
dramatise	המחיז
debtor	מלווה
unanimous	פה אחד
oblivious	מתעלם
reverence	הערצה
teasing	הקנטה
immoderate	מופרז
fend	מאמץ
di	כפול
surpassed	עלה על 2.הצטיין
seniority	ותק
palely	חיוור
curtailed	הפחית
term	מונח
fend off	להדוף
dipole	דו קוטב
rendered	הוגש
poaching	ציד לא חוקי 2.גזל
concession	זיכיון 2.ויתור
snuffle	להריח
appliance	מכשיר
section	סעיף
radiate	להקרין
fervent	להוט
dis	לא
sever	לנתק
concrete	בטון 2.קונקרטי
bladelike	דמוי להב
rag	סמרטוט
evaluate	להעריך
struck	פגע
tear	לקרוע 2. דמעה
mal	רע
compliance	הענות
sew	לתפור
grapple	היאבקות 2.אחיזה
hover	לרחף
raisin	צימוק
lobe	אונה
conglomerate	תלכיד 2.צבר
undone	לבטל
succeeded	ירש
obvaite	לבטל
misconceive	להבין לא נכון
persuasion	שכנוע
authorization	אישור
slumber	תנומה
whirr	זמזום
cohere	נדבק
evident	ברור
glide	לגלוש
ransom	כופר
filthy	מזוהם
neonatal	הקשור לתינוק שרק נולד
exposure	חשיפה
shed	לשפוך 2.להפיץ 3.סככה
acupuncture	דיקור סיני
readout	קריאת נתונים
startled	מופתע
stipulation	תנאי
banished	גורש
beverage	משקה
fiscal	כספי
poly	רב
debt	חוב
shrine	מקדש
defied	התריס
broom	מטאטא
decomposition	פירוק
magnified	מוגדל
clang	לצלצל
skullcap	כיפה
provisional	זמני
flamboyant	ראוותני
postmortem	לאחר המוות
sigh	להיאנח
stranded	נטוש
scrape	לגרד
scramble	לטפס
flee	לברוח
pseudo	מדומה
sinkhole	בולען
archaic	ארכאי
errand	שליחות (משימה שניתנה למישהו להגיע למקום או להעביר חפצים כלשהם)
bypass	עקף
transitory	בר חלוף
scour	לקרצף
fleet	לחמוק 2.צי
supernatural	על טבעי
admonishmen	נזיפה
skirmish	התנגשות
adjacent	סמוך
scurry	לרוץ
triplet	שלישיה
uteri	רחם
devastate	להחריב
sting	עוקץ
flimsy	עדין
unilateral	חד צדדי
slander	לשון רע
surreptitiously	בחשאי
dismissal	פיטור של עובד
fixation	קיבעון
induction	הצטרפות
replenish	לחדש מלאי
persude	לשכנע
fling	להטיל
outermost	החיצוני ביותר
slant	לנטות
divinity	אלוהות
buttress	משען
fetch	הביא
culminating	הגיע לפסגה\לשיא
delirious	הוזה
praiseworthy	ראוי לשבח
revered	העריץ
imbue	השריש
dawdle	להתבטל
incarcerate	אסר
bobbin	סליל
premeditate	תיכנן מראש
disrepair	הזנחה
durable	מחזיק מעמד
peasant	איכר
flustered	לבלבל
propellant	חומר היוצר הנעה
abbreviation	קיצור
solicit	לשדל
decreed	גזר
oscillate	להיטלטל
fierly	בלהט
interchangeably	לסירוגין
sacrament	פולחן
facility	מתקן
xenophobia	שנאת זרים
sling	ליידות
shrewd	פיקח
foremost	החשוב ביותר
pianist	פסנתרן
sovereign	ריבונות
heretical	מנוגד לאמונות מסוימות (למה שנהוג לחשוב)
vigour	מרץ
apex	שיא
schism	פילוג
linger	להתעכב
pipe	צינור
foresee	לצפות מראש
conductivity	מוליכות
accordance	התאמה
outright	ישירות
bothersome	מעצבן
enviable	מעורר קנאה
characterizing	מאפיין
reimbursement	פיצוי
contend	התמודד
haul	לגרור
foresight	ראיית הנולד
spongy	ספוגי
splendor	פאר
infanticide	רצח ילדים
portion	חלק משלם 2.מנה (באוכל)
pane	שמשה
plead for	להתחנן בשם\עבור
pant	להתנשף
forewarn	להזהיר
defendant	נאשם
acquit	לזכות
spouse	בן או בת זוג
incest	גילוי עריות
creep	לזחול
suffocate	נחנק
distillate	מזוקק (התקבל לאחר תהליך זיקוק)
rattle	רשרוש 2. פטפט
paraphrase	ניסוח מחדש
magnificent	נהדר
acronym	ראשי תיבות
springboard	מקפצה
bestiality	אכזריות
ceiling	תיקרה
sampling	דגימה
crept	זחל
bask in	להתענג
formulate	לנסח
reversed	הפוך
affiliation	השתייכות
stake	סיכוי
foul	דוחה
fro	בחזרה
unitary	מאוחד
embedded	משובץ
misnomer	שם מטעה
parched	מיובש
forsake	להפקיר
workable	בר ביצוע
affinity	זיקה
stall	לדחות למועד אחר
pagan	פגני
contention	מחלוקת
considerable	ניכר
unyielding	משוכנע לא לשנות את דעתו
manifold	מגוון
detonate	פיצץ
intermission	הפסקה
pare	קילף
fort	מבצר
soluble	מסיס
affirm	לאשר 2.לטעון
stampede	מנוסה עקב בהלה (בדרך כלל של בעלי חיים)
unwavering	יציב
subtleties	דקויות
incongruent	לא הולם
reintegrate	שילב מחדש
bracnches	ענפים
quake	להרעיד
fortitude	אומץ לב
anniversary	יום השנה
agile	קל תנועה
transition	מעבר
entomb	לקבור מישהו או משהו
mutualism	הדדיות
salient	עיקרי
forthcoming	נגיש
circa	בסביבות
agitate	להתסיס
stardom	כוכבות
retinal	שקשור לרשתית העין
unkempt	מוזנח
fortress	מצודה
collectable	שניתן לאסוף אותו
saliva	רוק
frank	גלוי לב
dusk	בין ערביים
albeit	למרות
loosen	התיר
immortalize	הנציח
decadent	אדם מנוון ומושחת
fugitive	פליט
kettle	קומקום
frankly	בכנות
alias	שם בדוי
malicious	מרושע
bombard	להפגיז
forecast	תחזית
phase out	ביטל בשלבים
eyesore	מכוער
uncompromising	בלתי מתפשר
frantic	מטורף
indefinitely	זמן בלתי מוגבל
allot	להקצות
strain	להתאמץ
muscular	שרירי
conclusive	חד משמעי
uniting	התאחדות
preeminent	דגול
adherence	דבקות
invasive	פולשני
median	חציון
aloft	באוויר
complexion	גוון עור
acknowledged authority	סמכות מוכרת
backache	כאב גב
conviction	הרשעה
medieval	שקשור לימי הביניים
altar	מזבח
streak	פס
vibration	ריטוט
dozing	לנמנם
moratorium	דחייה או שעייה של פעולה כלשהי
transcend	התעלה
pierce	לחדור
bias	דעה קדומה
frontier	גבול
alter	לשנות
stumble	למעוד
consciously	במודע
grin	לגחך
colossal	עצום
amulet	קמע
frost	טל
perpetuate	להנציח
alumni	בוגרי מוסד מסוים
subdue	להכניע
hatched	בוקע
blouse	חולצה
slam	הטיח
octagon	מתומן
fume	לעלות עשן
preexisting	היה קיים קודם לכן
submerge	להשקיע
decimation	השמדה
zeal	להיטות
importune	להפציר
rebuke	לנזוף
envoy	שליח
fuss	להטריד
preliminary	מוקדם 2.פעולת הכנה לפני דבר מה
amend	לתקן
potent	חזק
crate	קופסה
gradually	בהדרגה
conceal	להסתיר
dowry	נדוניה 2.כישרון
distribute	להפיץ
germ	חיידק
prolong	להאריך
amiable	ידידותי
subside	לשקוט
immediate	מיידי 2.קרוב ביחסים
stimulus	גירוי
pantry	מזוה
tangerine	מנדרינה
gesture	להחוות
substantial	ניכר
imprinting	הטבעה
scolding	נזיפה
stash	לאסוף
assertively	באופן החלטי
discriminatory	מפלה
fireplace	אח (לחימום)
bamboozle	לבלבל
pensive	מהורהר
giggle	לצחקק
retrospect	בדיעבד
anchor	לעגן
succession	רציפות 2.ירושה
instinctive	שקשור לאינסטינקט
deportation	גרוש
practice	אימון
carved	חקוק
feather	נוצה
glamour	זוהר
subsequent	עוקב
annul	לבטל
lanky	גבוה רזה ורפוי
finalized	סיכם
contagious	מדבק
impeach	להדיח
compiled	מאוגד
keg	חבית קטנה
gloom	חשכה
termination	סיום
antler	קרן (של בעל חיים)
clutter	ערבוביה
consensual	בהסכמה
fence	גדר
adept	מיומנות
bargain	עסקה
glorious	מהולל
uninterrupted	רציף
apparatus	מנגון 2.מכשיר
suffix	סיומת
lurking	התגנב
tug	למשוך
coercion	כפייה
diameter	קוטר
bipartisan	דו - מפלגתי
undue	מופרז
suicide	התאבדות
facade	החלק הקדמי 2.חזות
hiss	ללחוש 2. לשרוק
seismic	שקשור לרעידות אדמה
nuisance	מטרד
fusion	היתוך
literal	מילולי
martyr	קדוש מעונה
greasy	שמנוני
abound	שופע
applicant	מועמד
sumptuous	מפואר
tortoise	צב יבשה
tenants	שוכרים (מי שגרים בדירה)
disputes	מחלוקות
drill	מקדחה 2. תרגולת
fission	ביקוע
pious	דתי
hush	להשתיק
greet	לברך לשלום
ample	הרבה
bare	חשוף 2.ריק 3.פשוט
succumb	להיכנע 2.למות
lorry	משאית
insistence	התעקשות
repugnant	מעורר שאת נפש
refrained	נמנע מ
bathe	רחץ
batter	חבט
partial	בעל העדפה ל
barn	אסם
gallant	אבירי
surge	נחשול 2.עלייה חדה
deranged	מטורלל
infrastructure	תשתיות
guarantee	ערובה
channel	ערוץ
lease	להשכיר
gallop	לדהור
extensive	נרחב
aqueduct	מוביל מים
surplus	עודף
hooted	צווח
facilitate	לסייע
rumination	הרהור
underscores	קו תחתון שנועד להדגשה
deforestation	כריתת יערות
orator	נואם
fivefold	פי חמישה
arable	קרקע שניתנת לעיבוד
sustainability	קיומות
biodegradable	מתכלה
alliance	ברית
malpractice	רשלנות פושעת
segment	קטע
immeasurable	שלא ניתן למדידה
arbitrary	שרירותי
sweep	לסחוף 2.לטאטא
skid	החליק
bride	כלה
inquiringly	בצורה של שאלה
algae	אצות
midwife	מיילדת
lens	עדשה
gaunt	כחוש
inclusive	כולל
ark	תיבה
swift	מהיר
muster	כינוס
premises	מקום
viscose	סוג של אריג
tangible	מוחשי
misplacing	מאבד
censure	ביקורת
glare	מבט חודר 2.אור מסנוור
increment	תוספת
arouse	לעורר
syllable	הברה
lump	גוש
rigorous	קפדני
ostrich	יען
cultivation	טיפוח
matriarch	אם מייסדת
mediocre	בינוני
array	לערוך
tablecloth	מפת שולחן
ragged	מרופט
Coercive	כפייתי
wheelbarrow	מריצה
scrimmage	תגרה
irritation	גירוי
provinces	מחוז
regal	מלכותי
recipient	מקבל
plaque	לוחית
devouring	טורפים
ounce	אונקייה (יחידת משקל)
tail	זנב 2.שובל 3.לעקוב
grief	יגון
practically	כמעט
cherished	העריך
narrator	קריין
obloquy	גינוי
percentile	אחוז
articulate	רהוט
rug	שטיח
duck	ברווז 2.להתחמק (ממישהו או ממשהו - אחריות)
sacked	לפטר
toll	אגרה
casually	באופן אקראי
reciprocal	הדדי
improvise	לאלתר
glimmer	להבהב
remainder	יתרה
ascend	לעלות
raspy	צורם
tram	רכבת חשמלית
unrest	אי שקט
occasionally	מדי פעם
wavelength	אורך גל
pervert	סוטה
glisten	להבהיר
bean	שעועית
ascertain	לוודא
treason	בגידה
grimace	העווה את פניו (מגועל או סלידה)
breadwinner	מפרנס
fallout	נשורת
interrogation	חקירה
audacity	חוצפה
wasteland	שממה
lattice	רשת
glitter	לזכור
ashore	על החוף
teller	כספר
hem	תפר מכפלת
boulder	סלע ענק
bankrupt	פושט רגל
fermentation	תסיסה
impersonation	התחזות
contemporary	עכשווי
obsolete	מיושן
grandeur	פאר
buffet	בופה
template	תבנית
sob	יבבה
spoils	שלל
rotten	רקוב
reviving	להחיות
intimidation	הפחדה
plight	מצוקה
grant	להעניק 2.להסכים
canned	משומר
assign	להקצות
bash	להכות
cradled	החזיק בעדינות 2.ערסל
hamper	להפריע
clad	לבוש
immunization	חיסון
mandatory	חובה
growl	לנהום
ledge	מדף
clinging	נצמד
cater	לספק
lowkey	מאופק
spilled	נשפך
cattle	עדר פרות
at odds	שרוי במחלוקת
terrain	שטח
innards	קרביים
nestled	שכון
ewe	כבשה
blunt	בוטה 2.קהה
pigment	צבע (פיגמנט)
grieve	להתאבל
cereal	דגן
attain	להשיג
tile	אריח
salivating	מזיל ריר
baffled	מבולבל
paleness	המצב שמישהו הוא חיוור
punitive	שקשור לעונש
subsequently	לאחר מכן
maintained	מתוחזק
crust	קרום
attendant	משרה
bile	מיץ מרה
grieving	מתאבל
disarray	אי סדר
divisive	מחלק
illustrated	מאוייר
cuisine	מטבח
sugarcane	קנה סוכר
constraint	אילוץ
replete	גדוש
forefront	חזית קדמית
specimen	דוגמה
contained	מרוסן 2.מוכל
grotesque	מגוחך
famine	רעב
tract	שטח 2.מערכת ביצור חי
spite	זדון
formulating	ניסח
peninsula	חצי אי
reconciled	התפייס
grudge	איבה
feast	סעודה
traiblazer	חלוץ
embankment	סוללה
staple	מצרך או מרכיב עיקרי 2.סיכה
hoard	לאגור
disintegrate	התפורר
nominating	מינה 2. הגיש מועמדות
decent	הגון
notified	הודיעו לו
grain	דגן
axis	ציר
trundle	גילגל
swab	מטוש (מקל לניקוי אוזן)
quarantining	בידד
scenic	נופי
repertoire	מאגר
inscribed	נחרט
headmaster	מנהל בית ספר
inedible	לא אכיל
transfusion	עירוי
eavesdropped	מאזינים בסתר
comet	כוכב שביט
oeuvre	יצירה
impounded	להחרים
blockades	מצור
mechanism	מנגנון
allocated	מקצה (הקצאה)
jar	צנצנת
axle	סרן
transgress	להפר
fuzzier	מטושטש יותר
abnegation	ביטול
detect	לזהות
ornament	קישוט
encountered	נפגש
hostility	איבה
backbone	עמוד שדרה 2.אומץ לב
turret	צריח
stride	פסיעה
tanned	שזוף
rhetoric	רטוריקה
shear	לגזוז
goes by	חולף
obstructed	חסום
howl	ליילל
marinate	להשרות
bail	ערבות 2.להוציא מים 3.לחלץ
cony	ארנב
infestation	פלישה של מזיקים
hoodwinked	נדהם
sagging	שקע
dampen	להרטיב משהו 2. לשכך
crease	לקפל
makes up	מפצה
hybrid	בן כלאיים
morsel	חתיכה
pioneer	חלוץ
natal	מולדת
languishing	נמג
plunging	צנח
stands for	מייצג
purchase	רכישה
hypothesis	השערה
cupboard	ארון
coincide	להתרחש בו זמנית 2.לחפוף
battalion	גדוד
examining	בוחן
rednecks	ג'ינג'ים
impairment	לקות
sanitary	תבראותי (תנאי ניקיון ששומרים על בריאות הציבור)
gives in	נכנע
hail	ברד 2.לברך לשלום
lurched	טלטול פתאומי
ensemble	מכלול של אנשים
inauguration	חניכה 2. השבעת נשיא (בארצות הברית)
scribes	פקידים
milestone	אבן דרך
conquest	כיבוש
hamlet	כפר קטן
pepper	פלפל
beehive	כוורת
truce	שביתת נשק
aristocracy	אצולה
laundry	כביסה
chauffeur	נהג
referendum	משאל עם
backdrop	רקע
fortune	הון
helmet	קסדה
befitting	יאה
trunk	תא מטען 2.חדק 3.גזע
endorsement	תמיכה
in awe of	ביראת כבוד
standby	המתנה
assembled	הורכב
pomegranate	רימון
behalf	מטעם
befriend	לסייע 2.להתחבר
tailgate	דלת אחורית (ברכב)
contemplating	מהרהר
niche	גישה מתאימה
smuggle	להבריח
shattered	מנופץ
processed	עובדו
haphazard	אקראי
sesame	שומשום
behead	לערוף ראש
uncharted	לא נודע
crafty	ערמומי
stele	מצבת אבן
lawmakers	מחוקקים
cash flow	תזרים מזומנים
indexed	מסומן
embodied	להמחיש
hand over	להסגיר
benign	שפיר 2.טוב לב
unclaimed	ללא דורש
alienated	מנוכר
acute	חד
labeling	תיוג
mosaic	פסיפס
contested	שנוי במחלוקת
restored	משוחזר
handout	נדבה
stale	עבש
emergence	הופעה
anchorman	מגיש חדשות
detracting	לגרוע
bind	לקשור 2.לחייב
doctrine	תורה
commotion	המולה
perished	נחרב
